;Unnamed: 0;isi_tweet;sentimen;step01;tokens;final_tokens;step02
39;39;"Nyokap : ngapain td tiba2 nyuruh ke semarang.
Gua : ya kan gua sakit, urusin lah wkwk
Nyokap : dih uda 25 woi andaa… https://t.co/HXQzK5eqJR";0;nyokap ngapain td tiba2 nyuruh ke semarang gua ya kan gua sakit urusin lah wkwk nyokap dih uda number woi andaa cohxqzk5eqjr;['nyokap', 'ngapain', 'td', 'tiba2', 'nyuruh', 'ke', 'semarang', 'gua', 'ya', 'kan', 'gua', 'sakit', 'urusin', 'lah', 'wkwk', 'nyokap', 'dih', 'uda', 'number', 'woi', 'andaa', 'cohxqzk5eqjr'];['nyokap', 'ngapain', 'td', 'tiba2', 'nyuruh', 'ke', 'semarang', 'gua', 'ya', 'kan', 'gua', 'sakit', 'urusin', 'lah', 'wkwk', 'nyokap', 'dih', 'uda', 'number', 'woi', 'andaa', 'cohxqzk5eqjr'];nyokap ngapain td tiba2 nyuruh ke semarang gua ya kan gua sakit urusin lah wkwk nyokap dih uda number woi andaa cohxqzk5eqjr
40;40;Buat pecinta buku di semarang wajib banget dateng ke RPP Gedung Sumbing, @bbwbooks_id lagi ngadain event bazar buku… https://t.co/FQxcM0n9YQ;0;buat pecinta buku di semarang wajib banget dateng ke rpp gedung sumbing user lagi ngadain event bazar buku cofqxcm0n9yq;['buat', 'pecinta', 'buku', 'di', 'semarang', 'wajib', 'banget', 'dateng', 'ke', 'rpp', 'gedung', 'sumbing', 'user', 'lagi', 'ngadain', 'event', 'bazar', 'buku', 'cofqxcm0n9yq'];['buat', 'pecinta', 'buku', 'di', 'semarang', 'wajib', 'banget', 'dateng', 'ke', 'rpp', 'gedung', 'sumbing', 'user', 'lagi', 'ngadain', 'event', 'bazar', 'buku', 'cofqxcm0n9yq'];buat pecinta buku di semarang wajib banget dateng ke rpp gedung sumbing user lagi ngadain event bazar buku cofqxcm0n9yq
41;41;@unnesmenfess True cuy, awal2 ke semarang diserbu ama playlist2 satru dkk;1;user true cuy awal2 ke semarang diserbu ama playlist2 satru dkk;['user', 'true', 'cuy', 'awal2', 'ke', 'semarang', 'diserbu', 'ama', 'playlist2', 'satru', 'dkk'];['user', 'true', 'cuy', 'awal2', 'ke', 'semarang', 'diserbu', 'ama', 'playlist2', 'satru', 'dkk'];user true cuy awal2 ke semarang diserbu ama playlist2 satru dkk
42;42;MW KE BBW SEMARANG AJGGG😭😭😭😭knp kudu akhir bulan hikss;0;mw ke bbw semarang ajggg knp kudu akhir bulan hikss;['mw', 'ke', 'bbw', 'semarang', 'ajggg', 'knp', 'kudu', 'akhir', 'bulan', 'hikss'];['mw', 'ke', 'bbw', 'semarang', 'ajggg', 'knp', 'kudu', 'akhir', 'bulan', 'hikss'];mw ke bbw semarang ajggg knp kudu akhir bulan hikss
43;43;27.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/wBWvqJlLhS;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb cowbwvqjllhs;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'cowbwvqjllhs'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'cowbwvqjllhs'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb cowbwvqjllhs
44;44;26.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/l1h27enjfI;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb col1h27enjfi;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'col1h27enjfi'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'col1h27enjfi'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb col1h27enjfi
45;45;25.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/ZKYJmPKUnr;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb cozkyjmpkunr;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'cozkyjmpkunr'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'cozkyjmpkunr'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb cozkyjmpkunr
46;46;24.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/TX26diV3Qp;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb cotx26div3qp;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'cotx26div3qp'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'cotx26div3qp'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb cotx26div3qp
47;47;"RT @GajahmadaFM: Apa itu katarak? Apa gejalanya serta bagaimana penanganannya?

Simak penjelasan Dr. Laras Widayanti, SpM - Dokter Spesiali…";0;rt user apa itu katarak apa gejalanya serta bagaimana penanganannya simak penjelasan dr laras widayanti spm dokter spesiali;['rt', 'user', 'apa', 'itu', 'katarak', 'apa', 'gejalanya', 'serta', 'bagaimana', 'penanganannya', 'simak', 'penjelasan', 'dr', 'laras', 'widayanti', 'spm', 'dokter', 'spesiali'];['rt', 'user', 'apa', 'itu', 'katarak', 'apa', 'gejalanya', 'serta', 'bagaimana', 'penanganannya', 'simak', 'penjelasan', 'dr', 'laras', 'widayanti', 'spm', 'dokter', 'spesiali'];rt user apa itu katarak apa gejalanya serta bagaimana penanganannya simak penjelasan dr laras widayanti spm dokter spesiali
48;48;23.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/Z9mTR425GH;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb coz9mtr425gh;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'coz9mtr425gh'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'coz9mtr425gh'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb coz9mtr425gh
49;49;Pijat pasutri semarang mana ya https://t.co/tnBbFwEfUd;0;pijat pasutri semarang mana ya cotnbbfwefud;['pijat', 'pasutri', 'semarang', 'mana', 'ya', 'cotnbbfwefud'];['pijat', 'pasutri', 'semarang', 'mana', 'ya', 'cotnbbfwefud'];pijat pasutri semarang mana ya cotnbbfwefud
50;50;22.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/HTZcRZSZ0I;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb cohtzcrzsz0i;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'cohtzcrzsz0i'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'cohtzcrzsz0i'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb cohtzcrzsz0i
51;51;"RT @ketjususuu: 💥 rekomendasi jeans highwaist 💥

- a thread 

( hasil tes otak kanan kiri telkomsel lahiran saat malam minggu halloween ber…";0;rt user rekomendasi jeans highwaist thread hasil tes otak kanan kiri telkomsel lahiran saat malam minggu halloween ber;['rt', 'user', 'rekomendasi', 'jeans', 'highwaist', 'thread', 'hasil', 'tes', 'otak', 'kanan', 'kiri', 'telkomsel', 'lahiran', 'saat', 'malam', 'minggu', 'halloween', 'ber'];['rt', 'user', 'rekomendasi', 'jeans', 'highwaist', 'thread', 'hasil', 'tes', 'otak', 'kanan', 'kiri', 'telkomsel', 'lahiran', 'saat', 'malam', 'minggu', 'halloween', 'ber'];rt user rekomendasi jeans highwaist thread hasil tes otak kanan kiri telkomsel lahiran saat malam minggu halloween ber
52;52;21.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WBP… https://t.co/AYZu41oorZ;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wbp coayzu41oorz;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wbp', 'coayzu41oorz'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wbp', 'coayzu41oorz'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wbp coayzu41oorz
53;53;"Ke semarang naik mobil bis kota
Perginya pagi bareng si mia
Cinta bukan sembarang cinta
Cinta ku padamu sepanjang usia #robotpea";0;ke semarang naik mobil bis kota perginya pagi bareng si mia cinta bukan sembarang cinta cinta ku padamu sepanjang usia hashtag robot pea hashtag;['ke', 'semarang', 'naik', 'mobil', 'bis', 'kota', 'perginya', 'pagi', 'bareng', 'si', 'mia', 'cinta', 'bukan', 'sembarang', 'cinta', 'cinta', 'ku', 'padamu', 'sepanjang', 'usia', 'hashtag', 'robot', 'pea', 'hashtag'];['ke', 'semarang', 'naik', 'mobil', 'bis', 'kota', 'perginya', 'pagi', 'bareng', 'si', 'mia', 'cinta', 'bukan', 'sembarang', 'cinta', 'cinta', 'ku', 'padamu', 'sepanjang', 'usia', 'hashtag', 'robot', 'pea', 'hashtag'];ke semarang naik mobil bis kota perginya pagi bareng si mia cinta bukan sembarang cinta cinta ku padamu sepanjang usia hashtag robot pea hashtag
54;54;20.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WBP… https://t.co/Hwbdhf7afm;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wbp cohwbdhf7afm;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wbp', 'cohwbdhf7afm'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wbp', 'cohwbdhf7afm'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wbp cohwbdhf7afm
55;55;19.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WBP… https://t.co/TTuaOidJqz;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wbp cottuaoidjqz;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wbp', 'cottuaoidjqz'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wbp', 'cottuaoidjqz'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wbp cottuaoidjqz
56;56;"RT @Rena_mareta: Menteri BUMN Pak @erickthohir Sapa Warga Nelayan Tambak Lorok, di Kota Semarang.
Beliau hadir jg sekaligus memberikan prog…";0;rt user menteri bumn pak user sapa warga nelayan tambak lorok di kota semarang beliau hadir jg sekaligus memberikan prog;['rt', 'user', 'menteri', 'bumn', 'pak', 'user', 'sapa', 'warga', 'nelayan', 'tambak', 'lorok', 'di', 'kota', 'semarang', 'beliau', 'hadir', 'jg', 'sekaligus', 'memberikan', 'prog'];['rt', 'user', 'menteri', 'bumn', 'pak', 'user', 'sapa', 'warga', 'nelayan', 'tambak', 'lorok', 'di', 'kota', 'semarang', 'beliau', 'hadir', 'jg', 'sekaligus', 'memberikan', 'prog'];rt user menteri bumn pak user sapa warga nelayan tambak lorok di kota semarang beliau hadir jg sekaligus memberikan prog
57;57;RT @jeeeek_: Menteri BUMN @erickthohir Sapa Warga Nelayan Tambak Loro, Kota Semarang.  Seperti diketahui, Tambak Lorok menjadi salah satu w…;0;rt user menteri bumn user sapa warga nelayan tambak loro kota semarang seperti diketahui tambak lorok menjadi salah satu;['rt', 'user', 'menteri', 'bumn', 'user', 'sapa', 'warga', 'nelayan', 'tambak', 'loro', 'kota', 'semarang', 'seperti', 'diketahui', 'tambak', 'lorok', 'menjadi', 'salah', 'satu'];['rt', 'user', 'menteri', 'bumn', 'user', 'sapa', 'warga', 'nelayan', 'tambak', 'loro', 'kota', 'semarang', 'seperti', 'diketahui', 'tambak', 'lorok', 'menjadi', 'salah', 'satu'];rt user menteri bumn user sapa warga nelayan tambak loro kota semarang seperti diketahui tambak lorok menjadi salah satu
58;58;18.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WBP… https://t.co/og5CZ24zKS;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wbp coog5cz24zks;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wbp', 'coog5cz24zks'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wbp', 'coog5cz24zks'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wbp coog5cz24zks
59;59;RT @Retnowonosari: Moment Menteri BUMN @erickthohir  memberikan Kuliah Umum yang bertema “Peran BUMN Dalam Menghadapi Tantangan Ekonomi Bar…;0;rt user moment menteri bumn user memberikan kuliah umum yang bertema peran bumn dalam menghadapi tantangan ekonomi bar;['rt', 'user', 'moment', 'menteri', 'bumn', 'user', 'memberikan', 'kuliah', 'umum', 'yang', 'bertema', 'peran', 'bumn', 'dalam', 'menghadapi', 'tantangan', 'ekonomi', 'bar'];['rt', 'user', 'moment', 'menteri', 'bumn', 'user', 'memberikan', 'kuliah', 'umum', 'yang', 'bertema', 'peran', 'bumn', 'dalam', 'menghadapi', 'tantangan', 'ekonomi', 'bar'];rt user moment menteri bumn user memberikan kuliah umum yang bertema peran bumn dalam menghadapi tantangan ekonomi bar
60;60;RT @TopTofa: Wagub : Kampung Kauman yang masih berada satu lingkup dengan Alun-alun Kota Semarang. Menurutnya, Etnis Arab, Tionghoa, dan Ja…;0;rt user wagub kampung kauman yang masih berada satu lingkup dengan alun alun kota semarang menurutnya etnis arab tionghoa dan ja;['rt', 'user', 'wagub', 'kampung', 'kauman', 'yang', 'masih', 'berada', 'satu', 'lingkup', 'dengan', 'alun', 'alun', 'kota', 'semarang', 'menurutnya', 'etnis', 'arab', 'tionghoa', 'dan', 'ja'];['rt', 'user', 'wagub', 'kampung', 'kauman', 'yang', 'masih', 'berada', 'satu', 'lingkup', 'dengan', 'alun', 'alun', 'kota', 'semarang', 'menurutnya', 'etnis', 'arab', 'tionghoa', 'dan', 'ja'];rt user wagub kampung kauman yang masih berada satu lingkup dengan alun alun kota semarang menurutnya etnis arab tionghoa dan ja
61;61;"RT @febriyan_id: Dampingi Kapolri Silaturahmi ke Ulama di Semarang, Taj Yasin Imbau Masyarakat Terus ...
https://t.co/WqGWpxt5NL
#TajYasin…";0;rt user dampingi kapolri silaturahmi ke ulama di semarang taj yasin imbau masyarakat terus cowqgwpxt5nl hashtag taj yasin hashtag;['rt', 'user', 'dampingi', 'kapolri', 'silaturahmi', 'ke', 'ulama', 'di', 'semarang', 'taj', 'yasin', 'imbau', 'masyarakat', 'terus', 'cowqgwpxt5nl', 'hashtag', 'taj', 'yasin', 'hashtag'];['rt', 'user', 'dampingi', 'kapolri', 'silaturahmi', 'ke', 'ulama', 'di', 'semarang', 'taj', 'yasin', 'imbau', 'masyarakat', 'terus', 'cowqgwpxt5nl', 'hashtag', 'taj', 'yasin', 'hashtag'];rt user dampingi kapolri silaturahmi ke ulama di semarang taj yasin imbau masyarakat terus cowqgwpxt5nl hashtag taj yasin hashtag
62;62;Info dokter anak kayak dokter adhit ini dong di semarang/surabaya/jember 🥺 https://t.co/IxP0x1gdpr;0;info dokter anak kayak dokter adhit ini dong di semarang surabaya jember coixp0x1gdpr;['info', 'dokter', 'anak', 'kayak', 'dokter', 'adhit', 'ini', 'dong', 'di', 'semarang', 'surabaya', 'jember', 'coixp0x1gdpr'];['info', 'dokter', 'anak', 'kayak', 'dokter', 'adhit', 'ini', 'dong', 'di', 'semarang', 'surabaya', 'jember', 'coixp0x1gdpr'];info dokter anak kayak dokter adhit ini dong di semarang surabaya jember coixp0x1gdpr
63;63;aku pengin main deh ke semarang bawah, enaknya kemana ya ?;1;aku pengin main deh ke semarang bawah enaknya kemana ya;['aku', 'pengin', 'main', 'deh', 'ke', 'semarang', 'bawah', 'enaknya', 'kemana', 'ya'];['aku', 'pengin', 'main', 'deh', 'ke', 'semarang', 'bawah', 'enaknya', 'kemana', 'ya'];aku pengin main deh ke semarang bawah enaknya kemana ya
64;64;"RT @mantanBCL: Menteri BUMN Erick Thohir mengisi Kuliah Umum di Kampus Universitas Negeri Semarang (UNES).
@erickthohir 
#BangkitBersamaET…";0;rt user menteri bumn erick thohir mengisi kuliah umum di kampus universitas negeri semarang unes user hashtag bangkit bersama et hashtag;['rt', 'user', 'menteri', 'bumn', 'erick', 'thohir', 'mengisi', 'kuliah', 'umum', 'di', 'kampus', 'universitas', 'negeri', 'semarang', 'unes', 'user', 'hashtag', 'bangkit', 'bersama', 'et', 'hashtag'];['rt', 'user', 'menteri', 'bumn', 'erick', 'thohir', 'mengisi', 'kuliah', 'umum', 'di', 'kampus', 'universitas', 'negeri', 'semarang', 'unes', 'user', 'hashtag', 'bangkit', 'bersama', 'et', 'hashtag'];rt user menteri bumn erick thohir mengisi kuliah umum di kampus universitas negeri semarang unes user hashtag bangkit bersama et hashtag
65;65;17.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WBP… https://t.co/aqT2RaUWj8;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wbp coaqt2rauwj8;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wbp', 'coaqt2rauwj8'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wbp', 'coaqt2rauwj8'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wbp coaqt2rauwj8
66;66;RT @MalikAchmad06: Menteri BUMN Erick Thohir hadiri Kuliah Umum di Kampus Universitas Negeri Semarang (UNES), Semarang. Beliau juga sekalia…;0;rt user menteri bumn erick thohir hadiri kuliah umum di kampus universitas negeri semarang unes semarang beliau juga sekalia;['rt', 'user', 'menteri', 'bumn', 'erick', 'thohir', 'hadiri', 'kuliah', 'umum', 'di', 'kampus', 'universitas', 'negeri', 'semarang', 'unes', 'semarang', 'beliau', 'juga', 'sekalia'];['rt', 'user', 'menteri', 'bumn', 'erick', 'thohir', 'hadiri', 'kuliah', 'umum', 'di', 'kampus', 'universitas', 'negeri', 'semarang', 'unes', 'semarang', 'beliau', 'juga', 'sekalia'];rt user menteri bumn erick thohir hadiri kuliah umum di kampus universitas negeri semarang unes semarang beliau juga sekalia
67;67;"RT @DM_N4BYL: Mas mentri BUMN Erick Thohir Dalam rangka melakukan Kunjungan kerja

Hadir dan menyapa, menyerap aspirasi serta permasalahan…";0;rt user mas mentri bumn erick thohir dalam rangka melakukan kunjungan kerja hadir dan menyapa menyerap aspirasi serta permasalahan;['rt', 'user', 'mas', 'mentri', 'bumn', 'erick', 'thohir', 'dalam', 'rangka', 'melakukan', 'kunjungan', 'kerja', 'hadir', 'dan', 'menyapa', 'menyerap', 'aspirasi', 'serta', 'permasalahan'];['rt', 'user', 'mas', 'mentri', 'bumn', 'erick', 'thohir', 'dalam', 'rangka', 'melakukan', 'kunjungan', 'kerja', 'hadir', 'dan', 'menyapa', 'menyerap', 'aspirasi', 'serta', 'permasalahan'];rt user mas mentri bumn erick thohir dalam rangka melakukan kunjungan kerja hadir dan menyapa menyerap aspirasi serta permasalahan
68;68;"RT @penyemanqat: Atasan batik biru navy
📎https://t.co/8An6v85Bsv
📎https://t.co/NPZfAWYFdm
📎https://t.co/NhcCFV39fo
📎https://t.co/duo7X9X3nq…";0;rt user atasan batik biru navy co8an6v85bsv conpzfawyfdm conhccfv39fo coduo7x9x3nq;['rt', 'user', 'atasan', 'batik', 'biru', 'navy', 'co8an6v85bsv', 'conpzfawyfdm', 'conhccfv39fo', 'coduo7x9x3nq'];['rt', 'user', 'atasan', 'batik', 'biru', 'navy', 'co8an6v85bsv', 'conpzfawyfdm', 'conhccfv39fo', 'coduo7x9x3nq'];rt user atasan batik biru navy co8an6v85bsv conpzfawyfdm conhccfv39fo coduo7x9x3nq
69;69;"16.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Imigrasi dalam Pencegahan Dugaan Tindak Pidana Perdagangan Orang
https://t.co/JBWvQ5cdjW";0;number kakanwil kemenkumham jateng yuspahruddin imigrasi dalam pencegahan dugaan tindak pidana perdagangan orang cojbwvq5cdjw;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'imigrasi', 'dalam', 'pencegahan', 'dugaan', 'tindak', 'pidana', 'perdagangan', 'orang', 'cojbwvq5cdjw'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'imigrasi', 'dalam', 'pencegahan', 'dugaan', 'tindak', 'pidana', 'perdagangan', 'orang', 'cojbwvq5cdjw'];number kakanwil kemenkumham jateng yuspahruddin imigrasi dalam pencegahan dugaan tindak pidana perdagangan orang cojbwvq5cdjw
70;70;@aleearth_ Morning alee! Wah mas lingga nya di bandung nih, lagi gak di semarang 😂;0;user morning alee wah mas lingga nya di bandung nih lagi gak di semarang;['user', 'morning', 'alee', 'wah', 'mas', 'lingga', 'nya', 'di', 'bandung', 'nih', 'lagi', 'gak', 'di', 'semarang'];['user', 'morning', 'alee', 'wah', 'mas', 'lingga', 'nya', 'di', 'bandung', 'nih', 'lagi', 'gak', 'di', 'semarang'];user morning alee wah mas lingga nya di bandung nih lagi gak di semarang
71;71;"RT @denni_sauya: Di Jawa Tengah Menteri BUMN Erick Thohir Sapa Warga Nelayan Tambak Lorok, Kota Semarang.
@erickthohir 
#BangkitBersamaET h…";0;rt user di jawa tengah menteri bumn erick thohir sapa warga nelayan tambak lorok kota semarang user hashtag bangkit bersama et hashtag;['rt', 'user', 'di', 'jawa', 'tengah', 'menteri', 'bumn', 'erick', 'thohir', 'sapa', 'warga', 'nelayan', 'tambak', 'lorok', 'kota', 'semarang', 'user', 'hashtag', 'bangkit', 'bersama', 'et', 'hashtag'];['rt', 'user', 'di', 'jawa', 'tengah', 'menteri', 'bumn', 'erick', 'thohir', 'sapa', 'warga', 'nelayan', 'tambak', 'lorok', 'kota', 'semarang', 'user', 'hashtag', 'bangkit', 'bersama', 'et', 'hashtag'];rt user di jawa tengah menteri bumn erick thohir sapa warga nelayan tambak lorok kota semarang user hashtag bangkit bersama et hashtag
72;72;RT @sedulur_SGN: “Ditambah kita menghadapi pemilu 2024,kita berharap sih, isu isu terkait agama tidak perlu diangkat sedemikian rupa, toh k…;0;rt user ditambah kita menghadapi pemilu number kita berharap sih isu isu terkait agama tidak perlu diangkat sedemikian rupa toh;['rt', 'user', 'ditambah', 'kita', 'menghadapi', 'pemilu', 'number', 'kita', 'berharap', 'sih', 'isu', 'isu', 'terkait', 'agama', 'tidak', 'perlu', 'diangkat', 'sedemikian', 'rupa', 'toh'];['rt', 'user', 'ditambah', 'kita', 'menghadapi', 'pemilu', 'number', 'kita', 'berharap', 'sih', 'isu', 'isu', 'terkait', 'agama', 'tidak', 'perlu', 'diangkat', 'sedemikian', 'rupa', 'toh'];rt user ditambah kita menghadapi pemilu number kita berharap sih isu isu terkait agama tidak perlu diangkat sedemikian rupa toh
